kabupaten,latitude,longitude
Kota Yogyakarta,-7.800457,110.39128
Sleman,-7.68167,110.32333
Bantul,-7.88461,110.33411
Kulon Progo,-7.8596,110.1579
Gunungkidul,-7.96668,110.602561
