id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
6cda0,Kota Yogyakarta,Embung Gajah Wong Bedukan,4.1,Wisata Buatan,161,-7.8621184,110.3964484,https://www.google.com/maps/search/Embung%20Gajah%20Wong%20Bedukan,,,,,,,,,,,,
1600,Sleman,EMBUNG JETIS SURUH,4.2,Wisata Buatan,814,-7.6745388,110.3845035,https://www.google.com/maps/search/EMBUNG%20JETIS%20SURUH,,,,,,,,,,,,
e26b0,Gunungkidul,Embung Jlamprong,4.4,Wisata Buatan,155,-8.0102818,110.6768613,https://www.google.com/maps/search/Embung%20Jlamprong,,,,,,,,,,,,
e3a60,Sleman,Embung Kaliaji,4.5,Wisata Buatan,1689,-7.6487115,110.3760636,https://www.google.com/maps/search/Embung%20Kaliaji,,,,,,,,,,,,
50b20,Sleman,Embung Ketingan,3.9,Wisata Buatan,320,-7.7438954,110.3313615,https://www.google.com/maps/search/Embung%20Ketingan,,,,,,,,,,,,
7d440,Kulon Progo,Embung Kleco,4.1,Wisata Buatan,492,-7.7778054,110.1634566,https://www.google.com/maps/search/Embung%20Kleco,,,,,,,,,,,,
7e9f0,Sleman,Embung Krapyak,4.3,Wisata Buatan,359,-7.6707898,110.2622266,https://www.google.com/maps/search/Embung%20Krapyak,,,,,,,,,,,,
86840,Sleman,Embung Lampeyan,4.1,Wisata Buatan,432,-7.7290577,110.3382193,https://www.google.com/maps/search/Embung%20Lampeyan,,,,,,,,,,,,
501b0,Kota Yogyakarta,Embung Langensari,4.3,Wisata Alam,3331,-7.7866148,110.3819311,https://www.google.com/maps/search/Embung%20Langensari,,,,,,,,,,,,
f62f0,Gunungkidul,Embung Nglanggeran,4.5,Wisata Buatan,5754,-7.8471399,110.5468589,https://www.google.com/maps/search/Embung%20Nglanggeran,,,,,,,,,,,,
5d670,Kota Yogyakarta,Embung Potorono,4.5,Wisata Alam,5012,-7.8311423,110.420543,https://www.google.com/maps/search/Embung%20Potorono,,,,,,,,,,,,
350a0,Kota Yogyakarta,Embung Tambakboyo,4.4,Wisata Buatan,10599,-7.756227,110.4150131,https://www.google.com/maps/search/Embung%20Tambakboyo,,,,,,,,,,,,
2f6c0,Sleman,EMBUNG TONOGORO,4.5,Wisata Buatan,158,-7.6589845,110.234359,https://www.google.com/maps/search/EMBUNG%20TONOGORO,,,,,,,,,,,,
d9130,Kota Yogyakarta,Fort Vredeburg Museum,4.6,Wisata Budaya dan Sejarah,19201,-7.8002016,110.3663044,https://www.google.com/maps/search/Fort%20Vredeburg%20Museum,,,,,,,,,,,,
c5d10,Sleman,Gabugan Tourism Village,4.4,Wisata Budaya dan Sejarah,225,-7.6609669,110.3797272,https://www.google.com/maps/search/Gabugan%20Tourism%20Village,,,,,,,,,,,,
f8490,Kota Yogyakarta,Galaxy Waterpark,4.3,Wisata Buatan,3719,-7.8159633,110.4136917,https://www.google.com/maps/search/Galaxy%20Waterpark,,,,,,,,,,,,
4f070,Kota Yogyakarta,Gallery Amri Yahya,4.9,Wisata Budaya dan Sejarah,57,-7.7992289,110.3537936,https://www.google.com/maps/search/Gallery%20Amri%20Yahya,,,,,,,,,,,,
202c0,Kota Yogyakarta,Gapura Sawojajar Wijilan,5,Wisata Budaya dan Sejarah,2,-7.8052478,110.3666595,https://www.google.com/maps/search/Gapura%20Sawojajar%20Wijilan,,,,,,,,,,,,
af890,Bantul,Gardu Pandang Goa Gajah,4.4,Wisata Alam,189,-7.9456084,110.4406992,https://www.google.com/maps/search/Gardu%20Pandang%20Goa%20Gajah,,,,,,,,,,,,
21a00,Sleman,Gardu Pandang Merapi,4.3,Wisata Buatan,699,-7.5926693,110.4250243,https://www.google.com/maps/search/Gardu%20Pandang%20Merapi,,,,,,,,,,,,
430b0,Kota Yogyakarta,Gedung Jefferson,4.2,Wisata Budaya dan Sejarah,23,-7.7832145,110.3658164,https://www.google.com/maps/search/Gedung%20Jefferson,,,,,,,,,,,,
cfff0,Bantul,Geoforest Watu Payung Turunan,4.5,Wisata Alam,879,-7.972955236,110.4362646,https://www.google.com/maps/search/Geoforest%20Watu%20Payung%20Turunan,,,,,,,,,,,,
c1fb0,Kota Yogyakarta,Geopark Gunung Sewu,4.4,Wisata Alam,101,-7.8475299,110.4795506,https://www.google.com/maps/search/Geopark%20Gunung%20Sewu,,,,,,,,,,,,
26280,Kota Yogyakarta,Gereja Sayidan,4.2,Wisata Budaya dan Sejarah,735,-7.8035488,110.3698419,https://www.google.com/maps/search/Gereja%20Sayidan,,,,,,,,,,,,
ef5d0,Gunungkidul,Goa Branjang,4.1,Wisata Alam,8,-8.0251346,110.3483546,https://www.google.com/maps/search/Goa%20Branjang,,,,,,,,,,,,
7.10E+90,Bantul,Goa Cerme,4.5,Wisata Buatan,820,-7.9794413,110.3803114,https://www.google.com/maps/search/Goa%20Cerme,,,,,,,,,,,,
2c7d0,Bantul,Goa Dokjero,5,Wisata Alam,1,-8.02387,110.37234,https://www.google.com/maps/search/Goa%20Dokjero,,,,,,,,,,,,
b0dd0,Bantul,Goa Gajah Lemahbang,4.4,Wisata Alam,12,-7.9445379,110.4403233,https://www.google.com/maps/search/Goa%20Gajah%20Lemahbang,,,,,,,,,,,,
189f0,Gunungkidul,Goa Gesing,4,Wisata Alam,7,-8.0098233,110.677208,https://www.google.com/maps/search/Goa%20Gesing,,,,,,,,,,,,
28250,Gunungkidul,Goa Gremeng,4.5,Wisata Alam,49,-7.9422985,110.7202504,https://www.google.com/maps/search/Goa%20Gremeng,,,,,,,,,,,,
de6a0,Sleman,Goa Indraloka,5,Wisata Alam,4,-7.6477761,110.1872686,https://www.google.com/maps/search/Goa%20Indraloka,,,,,,,,,,,,
6cd20,Gunungkidul,Goa Jomblang,4.6,Wisata Alam,1277,-8.027954344,110.6382663,https://www.google.com/maps/search/Goa%20Jomblang,,,,,,,,,,,,
ddbb0,Kulon Progo,Goa Kebon,4.3,Wisata Alam,928,-7.8870828,110.1866704,https://www.google.com/maps/search/Goa%20Kebon,,,,,,,,,,,,
f80b0,Kulon Progo,Goa Kidang Kencono,4.4,Wisata Alam,36,-7.7364144,110.1326624,https://www.google.com/maps/search/Goa%20Kidang%20Kencono,,,,,,,,,,,,
dfd30,Kulon Progo,Goa Kiskendo,4.3,Wisata Alam,2108,-7.7471047,110.1310147,https://www.google.com/maps/search/Goa%20Kiskendo,,,,,,,,,,,,
c5ce0,Gunungkidul,Goa Lawa,4.7,Wisata Alam,6,-7.9490309,110.7311894,https://www.google.com/maps/search/Goa%20Lawa,,,,,,,,,,,,
4dac0,Gunungkidul,Goa lowo,4.2,Wisata Alam,11,-7.9490356,110.7312002,https://www.google.com/maps/search/Goa%20lowo,,,,,,,,,,,,
eb3c0,Bantul,Goa Luweng Plawan,4.5,Wisata Alam,22,-8.0249432,110.3515633,https://www.google.com/maps/search/Goa%20Luweng%20Plawan,,,,,,,,,,,,
71450,Gunungkidul,Goa Luweng Sumbreng,5,Wisata Alam,3,-8.1072256,110.6458925,https://www.google.com/maps/search/Goa%20Luweng%20Sumbreng,,,,,,,,,,,,
13510,Kulon Progo,Goa Maria Ratu Perdamaian Sendang Jatiningsih,4.9,Wisata Alam,2198,-7.7584884,110.2219625,https://www.google.com/maps/search/Goa%20Maria%20Ratu%20Perdamaian%20Sendang%20Jatiningsih,,,,,,,,,,,,
0ae40,Kota Yogyakarta,Goa Maria Sendang Sriningsih,4.8,Wisata Alam,1686,-7.799066,110.5255008,https://www.google.com/maps/search/Goa%20Maria%20Sendang%20Sriningsih,,,,,,,,,,,,
f5e80,Gunungkidul,Goa Ngeleng,4.6,Wisata Alam,52,-8.0252052,110.5541832,https://www.google.com/maps/search/Goa%20Ngeleng,,,,,,,,,,,,
74000,Gunungkidul,Goa Pego,4.2,Wisata Alam,22,-7.9990794,110.3705074,https://www.google.com/maps/search/Goa%20Pego,,,,,,,,,,,,
d9250,Gunungkidul,Goa petir,4,Wisata Alam,1,-8.0619999,110.5039778,https://www.google.com/maps/search/Goa%20petir,,,,,,,,,,,,
86b10,Gunungkidul,Goa Pindul Dewa Bejo,4.5,Wisata Alam,2033,-7.9266681,110.6477499,https://www.google.com/maps/search/Goa%20Pindul%20Dewa%20Bejo,,,,,,,,,,,,
c6a30,Gunungkidul,Goa Pindul Explore Gunungkidul,5,Wisata Alam,7,-7.9407424,110.6216531,https://www.google.com/maps/search/Goa%20Pindul%20Explore%20Gunungkidul,,,,,,,,,,,,
99060,Gunungkidul,Goa pindul gelaran 1,4.8,Wisata Alam,464,-7.9272575,110.6500107,https://www.google.com/maps/search/Goa%20pindul%20gelaran%201,,,,,,,,,,,,
daf90,Gunungkidul,Goa Pindul informasi dan reservasi,5,Wisata Alam,2,-7.9432307,110.6196099,https://www.google.com/maps/search/Goa%20Pindul%20informasi%20dan%20reservasi,,,,,,,,,,,,
326a0,Gunungkidul,goa pindul karyawisata,4.5,Wisata Alam,250,-7.9284036,110.6418842,https://www.google.com/maps/search/goa%20pindul%20karyawisata,,,,,,,,,,,,
b35e0,Gunungkidul,Goa Pindul Raka,5,Wisata Alam,3,-7.9371807,110.6216272,https://www.google.com/maps/search/Goa%20Pindul%20Raka,,,,,,,,,,,,
7b790,Gunungkidul,Goa Plalar,4.1,Wisata Alam,34,-7.9320559,110.726974,https://www.google.com/maps/search/Goa%20Plalar,,,,,,,,,,,,
dd5c0,Gunungkidul,Goa Pudak Selo Tumpang,5,Wisata Alam,1,-7.8214407,110.5502753,https://www.google.com/maps/search/Goa%20Pudak%20Selo%20Tumpang,,,,,,,,,,,,
b7760,Gunungkidul,Goa Rancang Kencono,4.3,Wisata Alam,797,-7.9494598,110.4927262,https://www.google.com/maps/search/Goa%20Rancang%20Kencono,,,,,,,,,,,,
0df50,Gunungkidul,Goa Sambi,4.7,Wisata Alam,10,-8.1872631,110.7349827,https://www.google.com/maps/search/Goa%20Sambi,,,,,,,,,,,,
16770,Bantul,Goa Segolo-golo,5,Wisata Alam,4,-7.9956235,110.3679637,https://www.google.com/maps/search/Goa%20Segolo-golo,,,,,,,,,,,,
86500,Kota Yogyakarta,Goa Sentono,4.1,Wisata Alam,210,-7.8129534,110.4715037,https://www.google.com/maps/search/Goa%20Sentono,,,,,,,,,,,,
3afa0,Kulon Progo,Goa Seplawan,4.5,Wisata Alam,1265,-7.772978,110.1102509,https://www.google.com/maps/search/Goa%20Seplawan,,,,,,,,,,,,
003c0,Bantul,Goa Song Soka,5,Wisata Alam,1,-8.05224,110.4126852,https://www.google.com/maps/search/Goa%20Song%20Soka,,,,,,,,,,,,
52260,Kota Yogyakarta,Goa Songkurang,4.2,Wisata Alam,29,-7.8256543,110.5133157,https://www.google.com/maps/search/Goa%20Songkurang,,,,,,,,,,,,
92f20,Sleman,Goa Sriti - Desa Wisata Tinalah,4.2,Wisata Alam,85,-7.7035962,110.2031232,https://www.google.com/maps/search/Goa%20Sriti%20-%20Desa%20Wisata%20Tinalah,,,,,,,,,,,,
d1050,Gunungkidul,GOA SUMBER,4.3,Wisata Alam,3,-8.0603659,110.5183213,https://www.google.com/maps/search/GOA%20SUMBER,,,,,,,,,,,,
46da0,Gunungkidul,Goa Tanding,4.6,Wisata Alam,334,-7.9326217,110.6494371,https://www.google.com/maps/search/Goa%20Tanding,,,,,,,,,,,,
bf700,Bantul,Goa Tangis,5,Wisata Alam,1,-8.028023,110.4143237,https://www.google.com/maps/search/Goa%20Tangis,,,,,,,,,,,,
34680,Sleman,Goa Tomenggolo Pondok Suluh,5,Wisata Alam,3,-7.6940625,110.4656719,https://www.google.com/maps/search/Goa%20Tomenggolo%20Pondok%20Suluh,,,,,,,,,,,,
d1330,Gunungkidul,GOA WATU JOGLO,4.3,Wisata Alam,12,-7.8591529,110.5448453,https://www.google.com/maps/search/GOA%20WATU%20JOGLO,,,,,,,,,,,,
936a0,Kota Yogyakarta,GOGOR PARK,4,Wisata Alam,12,-7.8570734,110.4905983,https://www.google.com/maps/search/GOGOR%20PARK,,,,,,,,,,,,
d1d80,Sleman,Graceland 66,5,Wisata Budaya dan Sejarah,45,-7.7763136,110.4071704,https://www.google.com/maps/search/Graceland%2066,,,,,,,,,,,,
13a00,Bantul,Graha Candi,5,Wisata Budaya dan Sejarah,2,-7.8265832,110.47927,https://www.google.com/maps/search/Graha%20Candi,,,,,,,,,,,,
4e7c0,Bantul,Grand Puri Water Park,4.2,Wisata Alam,3587,-7.8777881,110.3527371,https://www.google.com/maps/search/Grand%20Puri%20Water%20Park,,,,,,,,,,,,
8ccc0,Bantul,Grand Puri Waterpark,4.2,Wisata Buatan,3587,-7.8777662,110.352078,https://www.google.com/maps/search/Grand%20Puri%20Waterpark,,,,,,,,,,,,
23d40,Sleman,Green Kayen,4.5,Wisata Alam,370,-7.7379817,110.3850433,https://www.google.com/maps/search/Green%20Kayen,,,,,,,,,,,,
6bab0,Gunungkidul,Green Village Gedangsari,4.1,Wisata Alam,1242,-7.813094,110.615571,https://www.google.com/maps/search/Green%20Village%20Gedangsari,,,,,,,,,,,,
1a2f0,Sleman,GRINATA ADVENTURE 1,4.9,Wisata Alam,568,-7.5902269,110.4423564,https://www.google.com/maps/search/GRINATA%20ADVENTURE%201,,,,,,,,,,,,
43230,Kota Yogyakarta,Grojogan Gajah Purbo Ambarukmo,4.7,Wisata Alam,3,-7.7837819,110.3966506,https://www.google.com/maps/search/Grojogan%20Gajah%20Purbo%20Ambarukmo,,,,,,,,,,,,
d9ea0,Kota Yogyakarta,Grojogan Lembah Sempu Yogyakarta,4.9,Wisata Alam,7,-7.7426322,110.4443189,https://www.google.com/maps/search/Grojogan%20Lembah%20Sempu%20Yogyakarta,,,,,,,,,,,,
16610,Bantul,Grojogan Pucung,4.5,Wisata Alam,71,-7.990371,110.3421397,https://www.google.com/maps/search/Grojogan%20Pucung,,,,,,,,,,,,
e8690,Kota Yogyakarta,GROJOGAN TANJUNG WINONGO CULTURAL PARK,4.4,Wisata Alam,18,-7.8100045,110.3517491,https://www.google.com/maps/search/GROJOGAN%20TANJUNG%20WINONGO%20CULTURAL%20PARK,,,,,,,,,,,,
7b780,Kota Yogyakarta,Grojogan Tuwondo,3.9,Wisata Alam,156,-7.8655379,110.4321692,https://www.google.com/maps/search/Grojogan%20Tuwondo,,,,,,,,,,,,
53720,Sleman,Grojogan Watu Purbo,4.5,Wisata Buatan,3061,-7.6307204,110.3407695,https://www.google.com/maps/search/Grojogan%20Watu%20Purbo,,,,,,,,,,,,
2fb50,Sleman,Grojogan Watu Purbo Bangunrejo,4.5,Wisata Alam,3061,-7.6340196,110.3383881,https://www.google.com/maps/search/Grojogan%20Watu%20Purbo%20Bangunrejo,,,,,,,,,,,,
f3bc0,Gunungkidul,Gua Bribin,4.3,Wisata Alam,31,-8.0349855,110.6802905,https://www.google.com/maps/search/Gua%20Bribin,,,,,,,,,,,,
c7550,Gunungkidul,Gua Cokro,4.8,Wisata Buatan,26,-7.9418527,110.7205986,https://www.google.com/maps/search/Gua%20Cokro,,,,,,,,,,,,
0b2c0,Gunungkidul,Gua Gelatik,4.5,Wisata Alam,24,-7.9269354,110.6480752,https://www.google.com/maps/search/Gua%20Gelatik,,,,,,,,,,,,
c3cd0,Bantul,Gua Langse,4.5,Wisata Alam,344,-8.04034,110.3486549,https://www.google.com/maps/search/Gua%20Langse,,,,,,,,,,,,
6cd60,Kulon Progo,Gua Maria Lawangsih,4.8,Wisata Alam,424,-7.7211213,110.1480054,https://www.google.com/maps/search/Gua%20Maria%20Lawangsih,,,,,,,,,,,,
8f8c1,Sleman,Gua Maria Sendangsono,4.8,Wisata Alam,3430,-7.668004,110.225523,https://www.google.com/maps/search/Gua%20Maria%20Sendangsono,,,,,,,,,,,,
95960,Bantul,Gua Permoni,4.3,Wisata Alam,61,-7.8796951,110.3965111,https://www.google.com/maps/search/Gua%20Permoni,,,,,,,,,,,,
f76f0,Bantul,Gumuk Pasir Parangkusumo,4.5,Wisata Buatan,9362,-8.01845,110.3195509,https://www.google.com/maps/search/Gumuk%20Pasir%20Parangkusumo,,,,,,,,,,,,
77fb0,Kota Yogyakarta,Gunung Gamping,4.3,Wisata Budaya dan Sejarah,459,-7.8046696,110.3196567,https://www.google.com/maps/search/Gunung%20Gamping,,,,,,,,,,,,
942c0,Gunungkidul,Gunung Ireng,4.6,Wisata Alam,1516,-7.8810109,110.4885783,https://www.google.com/maps/search/Gunung%20Ireng,,,,,,,,,,,,
7d5d0,Gunungkidul,Gunung Ireng Srumbung,4.5,Wisata Alam,1516,-7.8827926,110.4896548,https://www.google.com/maps/search/Gunung%20Ireng%20Srumbung,,,,,,,,,,,,
f3f20,Kota Yogyakarta,Gunung Mungker,4.3,Wisata Alam,487,-7.8758728,110.4578762,https://www.google.com/maps/search/Gunung%20Mungker,,,,,,,,,,,,
319b0,Kota Yogyakarta,Heha Sky View,4.4,Wisata Buatan,32947,-7.848530311,110.4787102,https://www.google.com/maps/search/Heha%20Sky%20View,,,,,,,,,,,,
c8fc0,Kota Yogyakarta,History Of Java Museum (HOJM),4.5,Wisata Budaya dan Sejarah,662,-7.8439029,110.362261,https://www.google.com/maps/search/History%20Of%20Java%20Museum%20%28HOJM%29,,,,,,,,,,,,
c7f30,Bantul,Hutan Cemara Sembung,4.2,Wisata Alam,173,-7.8306883,110.2897089,https://www.google.com/maps/search/Hutan%20Cemara%20Sembung,,,,,,,,,,,,
30b30,Bantul,Hutan Pinus Asri,4.5,Wisata Alam,5045,-7.9209209,110.4355651,https://www.google.com/maps/search/Hutan%20Pinus%20Asri,,,,,,,,,,,,
bf480,Bantul,Hutan Pinus Mangunan,4.6,Wisata Alam,25978,-7.9261073,110.4304652,https://www.google.com/maps/search/Hutan%20Pinus%20Mangunan,,,,,,,,,,,,
e3520,Bantul,Hutan Pinus Mangunan Dlingo,4.6,Wisata Alam,25978,-7.9267837,110.4319967,https://www.google.com/maps/search/Hutan%20Pinus%20Mangunan%20Dlingo,,,,,,,,,,,,
d68c0,Kota Yogyakarta,Hutan Pinus Pengger,4.5,Wisata Alam,26636,-7.8712041,110.4595144,https://www.google.com/maps/search/Hutan%20Pinus%20Pengger,,,,,,,,,,,,
77ff0,Sleman,Ibarbo Park,4.2,Wisata Buatan,6584,-7.6851409,110.3395855,https://www.google.com/maps/search/Ibarbo%20Park,,,,,,,,,,,,
98880,Sleman,Ijo Temple Wooden Mosque,4.4,Wisata Budaya dan Sejarah,41,-7.7847528,110.5128442,https://www.google.com/maps/search/Ijo%20Temple%20Wooden%20Mosque,,,,,,,,,,,,
b9d60,Sleman,Jalur Lahar Point Kaliadem,5,Wisata Budaya dan Sejarah,11,-7.5827709,110.4486854,https://www.google.com/maps/search/Jalur%20Lahar%20Point%20Kaliadem,,,,,,,,,,,,
0eaa0,Kota Yogyakarta,Jane Kebon,5,Wisata Alam,2,-7.8381815,110.3556216,https://www.google.com/maps/search/Jane%20Kebon,,,,,,,,,,,,
4ec40,Bantul,Jati Meranggas,4.5,Wisata Alam,6,-7.8588559,110.4438313,https://www.google.com/maps/search/Jati%20Meranggas,,,,,,,,,,,,
e8630,Gunungkidul,jeep offroad goa pindul,5,Wisata Alam,17,-7.9275803,110.654494,https://www.google.com/maps/search/jeep%20offroad%20goa%20pindul,,,,,,,,,,,,
313f0,Kulon Progo,Jeep Wisata Glagah JEWIGA,4.7,Wisata Buatan,133,-7.9148866,110.078849,https://www.google.com/maps/search/Jeep%20Wisata%20Glagah%20JEWIGA,,,,,,,,,,,,
56b30,Sleman,Jembatan Diro,5,Wisata Alam,3,-7.73769,110.2342277,https://www.google.com/maps/search/Jembatan%20Diro,,,,,,,,,,,,
6ced0,Bantul,Jipangan Tourism Village,4.4,Wisata Budaya dan Sejarah,162,-7.8548212,110.3277628,https://www.google.com/maps/search/Jipangan%20Tourism%20Village,,,,,,,,,,,,
f1c70,Kota Yogyakarta,Jogja National Museum,4.6,Wisata Budaya dan Sejarah,8044,-7.8001175,110.3534164,https://www.google.com/maps/search/Jogja%20National%20Museum,,,,,,,,,,,,
a6e20,Bantul,Jurang Tembelan Kanigoro,4.5,Wisata Alam,4125,-7.9401065,110.4300062,https://www.google.com/maps/search/Jurang%20Tembelan%20Kanigoro,,,,,,,,,,,,
50160,Sleman,Kadisoka Temple,3.8,Wisata Budaya dan Sejarah,8,-7.7553303,110.4459721,https://www.google.com/maps/search/Kadisoka%20Temple,,,,,,,,,,,,
4c320,Kulon Progo,"Kali ""Bladeran""",4,Wisata Alam,4,-7.6942818,110.2359799,https://www.google.com/maps/search/Kali%20%22Bladeran%22,,,,,,,,,,,,
8d4e0,Gunungkidul,Kali Gede Banyumeneng,4,Wisata Alam,3,-7.9909547,110.4022933,https://www.google.com/maps/search/Kali%20Gede%20Banyumeneng,,,,,,,,,,,,
077b0,Sleman,Kali Talang,4.5,Wisata Alam,2311,-7.5802065,110.4606903,https://www.google.com/maps/search/Kali%20Talang,,,,,,,,,,,,
b1f00,Bantul,Kalinampu Natural Park,4.2,Wisata Alam,392,-7.968594,110.3473611,https://www.google.com/maps/search/Kalinampu%20Natural%20Park,,,,,,,,,,,,
2.54E+02,Gunungkidul,Kalisuci Cave Tubing,4.6,Wisata Alam,1479,-8.0096941,110.638918,https://www.google.com/maps/search/Kalisuci%20Cave%20Tubing,,,,,,,,,,,,
19c00,Kota Yogyakarta,Kampoeng Cyber Yogyakarta,4.4,Wisata Budaya dan Sejarah,7,-7.809384,110.3585784,https://www.google.com/maps/search/Kampoeng%20Cyber%20Yogyakarta,,,,,,,,,,,,
46900,Bantul,Kampung Batik Giriloyo,4.6,Wisata Buatan,1581,-7.9158931,110.3983021,https://www.google.com/maps/search/Kampung%20Batik%20Giriloyo,,,,,,,,,,,,
4.57E+02,Sleman,Kampung Flory Jogja,4.2,Wisata Alam,2533,-7.7214525,110.348233,https://www.google.com/maps/search/Kampung%20Flory%20Jogja,,,,,,,,,,,,
d2e70,Gunungkidul,Kampung Wisata Baran,4.7,Wisata Alam,28,-7.8660492,110.5080051,https://www.google.com/maps/search/Kampung%20Wisata%20Baran,,,,,,,,,,,,
b6df0,Kota Yogyakarta,Kampung Wisata Basen,4.4,Wisata Buatan,252,-7.8243739,110.4004905,https://www.google.com/maps/search/Kampung%20Wisata%20Basen,,,,,,,,,,,,
3f240,Kota Yogyakarta,Kampung Wisata Dewa Bronto,5,Wisata Buatan,2,-7.8174427,110.3732733,https://www.google.com/maps/search/Kampung%20Wisata%20Dewa%20Bronto,,,,,,,,,,,,
ed3b0,Kota Yogyakarta,Kampung Wisata Rejowinangun,4.3,Wisata Budaya dan Sejarah,63,-7.8152776,110.3988359,https://www.google.com/maps/search/Kampung%20Wisata%20Rejowinangun,,,,,,,,,,,,
41000,Kota Yogyakarta,Kampung Wisata Sosromenduran,4,Wisata Budaya dan Sejarah,43,-7.79219,110.362151,https://www.google.com/maps/search/Kampung%20Wisata%20Sosromenduran,,,,,,,,,,,,
e12a0,Kota Yogyakarta,Kampung Wisata Surokarsan Sura Amerta,4.8,Wisata Buatan,17,-7.806824,110.3748006,https://www.google.com/maps/search/Kampung%20Wisata%20Surokarsan%20Sura%20Amerta,,,,,,,,,,,,
a6650,Kota Yogyakarta,Kampung Wisata Taman Sari,4.8,Wisata Budaya dan Sejarah,42492,-7.8099788,110.3589907,https://www.google.com/maps/search/Kampung%20Wisata%20Taman%20Sari,,,,,,,,,,,,
2d480,Sleman,Kampung wisata wonorejo,5,Wisata Budaya dan Sejarah,1,-7.6237978,110.4177307,https://www.google.com/maps/search/Kampung%20wisata%20wonorejo,,,,,,,,,,,,
12810,Gunungkidul,Kasi Trip PINDUL,4.8,Wisata Alam,154,-7.9288644,110.6494156,https://www.google.com/maps/search/Kasi%20Trip%20PINDUL,,,,,,,,,,,,
dc570,Gunungkidul,Kawasan Ekowisata Gunung Api Purba Nglanggeran,4.5,Wisata Alam,915,-7.841986,110.5415759,https://www.google.com/maps/search/Kawasan%20Ekowisata%20Gunung%20Api%20Purba%20Nglanggeran,,,,,,,,,,,,
10f50,Sleman,KAWIDASRI,4.4,Wisata Budaya dan Sejarah,41,-7.6372592,110.3891213,https://www.google.com/maps/search/KAWIDASRI,,,,,,,,,,,,
b91b0,Kulon Progo,Kebun Teh Nglinggo,4.5,Wisata Alam,4209,-7.647054,110.1414699,https://www.google.com/maps/search/Kebun%20Teh%20Nglinggo,,,,,,,,,,,,
6.06E+02,Bantul,Kedung Pengilon,4,Wisata Alam,576,-7.8560863,110.288863,https://www.google.com/maps/search/Kedung%20Pengilon,,,,,,,,,,,,
cb5f0,Bantul,Kedung Tolok,4.3,Wisata Alam,319,-7.9632346,110.3838152,https://www.google.com/maps/search/Kedung%20Tolok,,,,,,,,,,,,
64770,Kota Yogyakarta,Kekayon Museum,4.2,Wisata Budaya dan Sejarah,578,-7.8145939,110.4130604,https://www.google.com/maps/search/Kekayon%20Museum,,,,,,,,,,,,
64fe0,Kota Yogyakarta,Keraton Ratu Boko,4.7,Wisata Buatan,15149,-7.7705416,110.4894158,https://www.google.com/maps/search/Keraton%20Ratu%20Boko,,,,,,,,,,,,
c2bb0,Bantul,Kids Fun - Arung Jeram,4.4,Wisata Buatan,26,-7.8285622,110.4412651,https://www.google.com/maps/search/Kids%20Fun%20-%20Arung%20Jeram,,,,,,,,,,,,
0c880,Bantul,Kids Fun - Blaster Boat,4.2,Wisata Buatan,33,-7.8285087,110.4400289,https://www.google.com/maps/search/Kids%20Fun%20-%20Blaster%20Boat,,,,,,,,,,,,
ed060,Bantul,Kids Fun Ferrari,3.8,Wisata Buatan,4,-7.8289621,110.4403391,https://www.google.com/maps/search/Kids%20Fun%20Ferrari,,,,,,,,,,,,
1b890,Kota Yogyakarta,Kids Fun Galleria Mall,4.4,Wisata Buatan,2338,-7.7823797,110.3791605,https://www.google.com/maps/search/Kids%20Fun%20Galleria%20Mall,,,,,,,,,,,,
d50a0,Bantul,Kids Fun Jurrasic Park,3.5,Wisata Buatan,10,-7.8288707,110.4408115,https://www.google.com/maps/search/Kids%20Fun%20Jurrasic%20Park,,,,,,,,,,,,
9b940,Sleman,Kids Fun Mirota Pasaraya,4.4,Wisata Buatan,22,-7.7529211,110.3846346,https://www.google.com/maps/search/Kids%20Fun%20Mirota%20Pasaraya,,,,,,,,,,,,
410f0,Kota Yogyakarta,Kids Fun Park (Pusat),4.4,Wisata Buatan,6605,-7.827611573,110.4413491,https://www.google.com/maps/search/Kids%20Fun%20Park%20%28Pusat%29,,,,,,,,,,,,
c3970,Sleman,Kids Waterpark & Replika Taman Satwa,4.4,Wisata Buatan,13,-7.6210027,110.4224484,https://www.google.com/maps/search/Kids%20Waterpark%20%26%20Replika%20Taman%20Satwa,,,,,,,,,,,,
8250,Bantul,Kori Barat Masjid Gedhe Mataram Kotagede,4.3,Wisata Budaya dan Sejarah,794,-7.8290325,110.3983065,https://www.google.com/maps/search/Kori%20Barat%20Masjid%20Gedhe%20Mataram%20Kotagede,,,,,,,,,,,,
f1f50,Kota Yogyakarta,Kotagede Heritage Trail,5,Wisata Budaya dan Sejarah,9,-7.8263088,110.398512,https://www.google.com/maps/search/Kotagede%20Heritage%20Trail,,,,,,,,,,,,
ba330,Sleman,Lava Merapi and Alien Stone,4.5,Wisata Alam,10508,-7.6023375,110.4552585,https://www.google.com/maps/search/Lava%20Merapi%20and%20Alien%20Stone,,,,,,,,,,,,
6.50E+20,Sleman,Lava Tour Merapi by Amtra Journey,4.9,Wisata Buatan,4281,-7.6154849,110.4341244,https://www.google.com/maps/search/Lava%20Tour%20Merapi%20by%20Amtra%20Journey,,,,,,,,,,,,
edb40,Sleman,Ledhok Blotan,4.5,Wisata Alam,391,-7.7375538,110.4156014,https://www.google.com/maps/search/Ledhok%20Blotan,,,,,,,,,,,,
